,artist,album,track_name,release_date,duration_ms,popularity
0,Taylor Swift,Lover,Cruel Summer,2019-08-23,178426,99
1,Doja Cat,Paint The Town Red,Paint The Town Red,2023-08-04,231750,98
2,SZA,SOS,Snooze,2022-12-09,201800,92
3,Drake,For All The Dogs,IDGAF (feat. Yeat),2023-10-06,260111,94
4,Bad Bunny,nadie sabe lo que va a pasar mañana,MONACO,2023-10-13,267194,98
5,Zach Bryan,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),2023-08-25,227195,93
6,Luke Combs,Gettin' Old,Fast Car,2023-03-24,265493,89
7,Drake,For All The Dogs,First Person Shooter (feat. J. Cole),2023-10-06,247444,92
8,Morgan Wallen,One Thing At A Time,Last Night,2023-03-03,163854,86
9,Morgan Wallen,One Thing At A Time,Thinkin’ Bout Me,2023-03-03,177387,86
10,Gunna,a Gift & a Curse,fukumean,2023-06-16,125040,95
11,Olivia Rodrigo,vampire,vampire,2023-06-30,219724,77
12,Dua Lipa,Dance The Night (From Barbie The Album),Dance The Night - From Barbie The Album,2023-05-25,176579,94
13,Bad Bunny,nadie sabe lo que va a pasar mañana,FINA,2023-10-13,216327,93
14,Drake,For All The Dogs,Virginia Beach,2023-10-06,251094,88
15,Drake,For All The Dogs,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,319191,88
16,Tate McRae,greedy,greedy,2023-09-15,131872,100
17,Miley Cyrus,Flowers,Flowers,2023-01-13,200454,61
18,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],2023-06-23,109750,90
19,Bad Bunny,nadie sabe lo que va a pasar mañana,PERRO NEGRO,2023-10-13,162767,97
20,Drake,For All The Dogs,Slime You Out (feat. SZA),2023-10-06,310490,84
21,Bad Bunny,nadie sabe lo que va a pasar mañana,NADIE SABE,2023-10-13,379058,88
22,Jelly Roll,Need A Favor,Need A Favor,2022-12-09,197400,27
23,Bad Bunny,nadie sabe lo que va a pasar mañana,HIBIKI,2023-10-13,208000,92
24,Taylor Swift,Midnights (3am Edition),Anti-Hero,2022-10-22,200690,72
25,Miley Cyrus,Used To Be Young,Used To Be Young,2023-08-25,191185,82
26,Lil Durk,All My Life (feat. J. Cole),All My Life (feat. J. Cole),2023-05-12,223878,83
27,Bad Bunny,nadie sabe lo que va a pasar mañana,MR. OCTOBER,2023-10-13,189258,88
28,Bailey Zimmerman,Religiously,Religiously,2023-03-17,178723,24
29,Bad Bunny,nadie sabe lo que va a pasar mañana,CYBERTRUCK,2023-10-13,191959,88
30,Lainey Wilson,Watermelon Moonshine,Watermelon Moonshine,2022-08-12,208853,78
31,Bad Bunny,nadie sabe lo que va a pasar mañana,TELEFONO NUEVO,2023-10-13,354784,88
32,Noah Kahan,Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),2023-07-18,213817,86
33,Bad Bunny,nadie sabe lo que va a pasar mañana,BABY NUEVA,2023-10-13,240773,90
34,Mitski,The Land Is Inhospitable and So Are We,My Love Mine All Mine,2023-09-15,137773,97
35,SZA,SOS,Kill Bill,2022-12-09,153946,87
36,Jelly Roll,Whitsitt Chapel,Save Me (with Lainey Wilson),2023-06-02,237493,78
37,Bad Bunny,nadie sabe lo que va a pasar mañana,SEDA,2023-10-13,190476,90
38,USHER,Good Good,Good Good,2023-08-04,247100,75
39,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,222369,95
40,Doechii,What It Is (Block Boy) (with Kodak Black),What It Is (Block Boy) (with Kodak Black),2023-03-17,223343,77
41,Olivia Rodrigo,bad idea right?,bad idea right?,2023-08-11,184783,73
42,Chris Stapleton,White Horse,White Horse,2023-07-21,267893,82
43,Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2022-12-02,221520,92
44,David Kushner,Daylight,Daylight,2023-04-14,212953,95
45,Tyla,Water,Water,2023-07-28,200255,95
46,Offset,SET IT OFF,SAY MY GRACE (feat. Travis Scott),2023-10-13,173253,85
47,Bad Bunny,nadie sabe lo que va a pasar mañana,UN PREVIEW,2023-10-13,165582,87
48,Drake,For All The Dogs,Gently (feat. Bad Bunny),2023-10-06,133694,87
49,Jason Aldean,Try That In A Small Town,Try That In A Small Town,2023-05-19,180033,76
50,Travis Scott,UTOPIA,I KNOW ?,2023-07-28,211582,92
51,Bad Bunny,nadie sabe lo que va a pasar mañana,GRACIAS POR NADA,2023-10-13,177450,87
52,Bad Bunny,nadie sabe lo que va a pasar mañana,VOU 787,2023-10-13,123643,86
53,Bad Bunny,nadie sabe lo que va a pasar mañana,WHERE SHE GOES,2023-10-13,231704,85
54,Doja Cat,Scarlet,Agora Hills,2023-09-22,265360,92
55,Drake,For All The Dogs,Calling For You (feat. 21 Savage),2023-10-06,285630,84
56,Bad Bunny,nadie sabe lo que va a pasar mañana,MERCEDES CAROTA,2023-10-13,202635,87
57,Paul Russell,Lil Boo Thang,Lil Boo Thang,2023-08-18,114233,86
58,Selena Gomez,Single Soon,Single Soon,2023-08-25,171655,88
59,Drake,For All The Dogs,Daylight,2023-10-06,164142,84
60,Bad Bunny,nadie sabe lo que va a pasar mañana,LOS PITS,2023-10-13,250851,87
61,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),QLONA,2023-08-11,172797,90
62,Drake,For All The Dogs,8am in Charlotte,2023-10-06,266847,84
63,Oliver Anthony Music,Rich Men North of Richmond,Rich Men North of Richmond,2023-08-11,187244,87
64,Bad Bunny,nadie sabe lo que va a pasar mañana,NO ME QUIERO CASAR,2023-10-13,225654,87
65,Drake,For All The Dogs,What Would Pluto Do,2023-10-06,182998,82
66,Travis Scott,UTOPIA,MELTDOWN (feat. Drake),2023-07-28,246133,90
67,Drake,For All The Dogs,Fear Of Heights,2023-10-06,155154,83
68,Cardi B,Bongos (feat. Megan Thee Stallion),Bongos (feat. Megan Thee Stallion),2023-09-08,175099,82
69,Bad Bunny,nadie sabe lo que va a pasar mañana,VUELVE CANDY B,2023-10-13,266171,85
70,Peso Pluma,GÉNESIS,LADY GAGA,2023-06-29,212878,95
71,Young Nudy,Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),2023-02-27,203813,78
72,Rod Wave,Nostalgia,Great Gatsby,2023-09-15,146751,79
73,Teddy Swims,Lose Control,Lose Control,2023-06-23,210688,83
74,Noah Kahan,Stick Season,Stick Season,2022-10-14,182346,89
75,Jessie Murph,Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),2023-10-06,141367,82
76,Kenya Grace,Strangers,Strangers,2023-09-01,172964,98
77,Bad Bunny,nadie sabe lo que va a pasar mañana,BATICANO,2023-10-13,256000,85
78,Olivia Rodrigo,GUTS,get him back!,2023-09-08,211141,91
79,Bad Bunny,nadie sabe lo que va a pasar mañana,THUNDER Y LIGHTNING,2023-10-13,217133,87
80,Drake,For All The Dogs,7969 Santa,2023-10-06,259846,82
81,Drake,For All The Dogs,Members Only (feat. PARTYNEXTDOOR),2023-10-06,277720,82
82,Bad Bunny,nadie sabe lo que va a pasar mañana,ACHO PR,2023-10-13,359647,86
83,Drake,For All The Dogs,Bahamas Promises,2023-10-06,184089,82
84,Drake,For All The Dogs,Drew A Picasso,2023-10-06,262768,81
85,Drake,For All The Dogs,Tried Our Best,2023-10-06,209990,81
86,Zach Bryan,Zach Bryan,Hey Driver (feat. The War and Treaty),2023-08-25,227466,86
87,Drake,For All The Dogs,Amen (feat. Teezo Touchdown),2023-10-06,141212,82
88,Drake,For All The Dogs,All The Parties (feat. Chief Keef),2023-10-06,218611,81
89,Lil Tecca,500lbs,500lbs,2023-07-21,144390,85
90,Myke Towers,LA VIDA ES UNA,LALA,2023-03-23,197920,97
91,Offset,WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),2023-10-12,188333,71
92,Jung Kook,3D (feat. Jack Harlow),3D (feat. Jack Harlow),2023-09-29,201812,95
93,Sexyy Red,Hood Hottest Princess,SkeeYee,2023-06-09,157125,81
94,Drake,For All The Dogs,Another Late Night (feat. Lil Yachty),2023-10-06,170414,82
95,Morgan Wallen,3 Songs At A Time Sampler,Everything I Love,2023-01-31,187047,68
96,Victoria Monét,On My Mama,On My Mama,2023-06-16,186678,75
97,Rod Wave,Nostalgia,Turks & Caicos (feat. 21 Savage),2023-09-15,203345,81
98,*NSYNC,Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),2023-09-29,216666,77
99,HARDY,TRUCK BED,TRUCK BED,2022-10-10,167534,71
